year,Season,Month,State,Primary.Mode,Etiology,Serotype.or.Genotype,Etiology.Status,Setting,Illnesses,Hospitalizations,Info.on.Hospitalizations,Deaths,Info.on.Deaths,Food.Vehicle,Food.Contaminated.Ingredient,IFSAC.Category,Water.Exposure,Water.Type,Animal.Type,Animal.Type.Specify
2009,Winter,1,Maine,Person-to-person,Norovirus,unknown,Confirmed,Hospital,99,43,99,0,99,,,,,,,
2009,Winter,2,Wisconsin,Food,Clostridium,,Confirmed,Restaurant - Sit-down dining,90,0,90,0,90,"beef, brisket",,Beef,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0,65,0,65,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,0,43,0,43,,,,,,,
2009,Spring,3,Maine,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,School/college/university,57,0,57,0,57,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,58,0,58,0,58,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,28,0,28,0,28,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Hospital,16,0,0,0,0,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,,9,3,9,0,9,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,,9,0,0,0,0,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,25,4,25,0,25,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,45,0,45,1,45,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,0,54,0,54,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,65,0,65,0,65,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,24,1,24,0,24,,,,,,,
2009,Spring,3,Ohio,Food,Norovirus,GII.4 New Orleans,Confirmed,Banquet Facility (food prepared and served on-site),20,0,19,0,20,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,61,0,61,0,61,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,30,1,30,0,30,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Sapovirus,,Confirmed,Long-term care/nursing home/assisted living facility,30,0,30,0,30,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Rotavirus,,Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,63,0,63,0,63,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,25,0,25,0,25,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,37,2,37,2,37,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,24,2,24,0,24,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Other healthcare facility,63,0,63,1,63,,,,,,,
2009,Spring,3,Arkansas,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,5,46,1,46,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,39,0,39,0,39,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,20,0,20,0,20,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,48,1,48,0,48,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,62,0,62,0,62,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,16,0,16,0,16,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,School/college/university,25,0,0,0,0,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,59,0,59,0,59,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,58,0,58,0,58,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,54,1,54,0,54,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,50,0,50,1,50,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,95,2,95,1,95,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,43,5,43,0,43,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,142,1,142,0,142,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,40,0,0,0,0,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,6,0,6,0,6,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,114,0,114,0,114,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,64,0,64,0,64,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,46,0,46,0,46,,,,,,,
2009,Winter,1,Ohio,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,11,0,11,0,11,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,61,0,61,0,61,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Other healthcare facility,35,0,35,0,35,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Other healthcare facility,34,1,34,0,34,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,56,9,56,0,56,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,22,0,0,0,0,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,35,0,0,0,0,,,,,,,
2009,Winter,1,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,50,0,0,0,0,,,,,,,
2009,Winter,2,Arkansas,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,47,1,47,0,47,,,,,,,
2009,Spring,3,Ohio,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Hospital,18,0,18,0,18,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,40,0,40,0,40,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,28,1,28,0,28,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,19,0,19,0,19,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,18,0,18,0,18,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,31,2,31,0,31,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,0,41,0,41,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,7,0,7,0,7,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,30,2,30,1,30,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,32,2,32,0,32,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Restaurant,6,0,6,0,6,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,7,1,7,0,7,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,71,1,71,0,71,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,51,0,51,0,51,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,3,41,0,41,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,42,0,42,0,42,,,,,,,
2009,Winter,1,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,41,2,41,0,41,,,,,,,
2009,Spring,3,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,56,3,56,0,56,,,,,,,
2009,Winter,1,Missouri,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,91,4,91,0,91,,,,,,,
2009,Spring,3,Arkansas,Food,Salmonella,Typhimurium,Confirmed,,5,3,5,0,5,,,,,,,
2009,Winter,1,Missouri,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,32,2,32,2,32,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,unknown,Confirmed,Hospital,19,12,19,0,19,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,15,0,15,0,15,,,,,,,
2009,Winter,1,Maine,Person-to-person,Norovirus,,Confirmed,Hospital,48,22,48,0,48,,,,,,,
2009,Winter,2,Maine,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,24,0,24,0,24,,,,,,,
2009,Spring,3,Missouri,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,10,0,10,0,10,,,,,,,
2009,Spring,3,Idaho,Food,Clostridium,,Confirmed,Private home/residence,8,0,8,0,8,"chicken, other",,Chicken,,,,
2009,Spring,4,Minnesota,Food,Norovirus,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",15,0,15,0,15,"sandwich, unspecified",,Multiple,,,,
2009,Spring,3,Tennessee,Person-to-person,Norovirus,unknown,Confirmed,,28,2,28,0,28,,,,,,,
2009,Winter,2,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,13,0,0,0,0,,,,,,,
2009,Winter,2,Michigan,Person-to-person,Norovirus,unknown,Confirmed,School/college/university,22,0,0,0,0,,,,,,,
2009,Spring,3,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,21,0,0,0,0,,,,,,,
2009,Spring,3,Wisconsin,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,23,0,23,0,23,,,,,,,
2009,Spring,3,Ohio,Person-to-person,Norovirus,GII.4 Den Haag,Confirmed,Long-term care/nursing home/assisted living facility,36,3,36,0,36,,,,,,,
2009,Spring,3,Michigan,Food,Norovirus,,Confirmed,Restaurant - other or unknown type; Banquet Facility (food prepared and served on-site),131,2,131,0,131,"salad, unspecified",,Multiple,,,,
2009,Spring,3,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Event space,27,0,0,0,0,,,,,,,
2009,Spring,3,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Prison/jail,28,0,0,0,0,,,,,,,
2009,Spring,4,Michigan,Person-to-person,Norovirus,unknown,Confirmed,School/college/university,93,0,0,0,0,,,,,,,
2009,Spring,4,Michigan,Person-to-person,Norovirus,unknown,Confirmed,Prison/jail,21,0,0,0,0,,,,,,,
2009,Winter,1,Pennsylvania,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,113,0,113,0,113,,,,,,,
2009,Winter,2,Ohio,Food,Norovirus,,Confirmed,Caterer (food prepared off-site from where served),70,1,48,0,70,egg salad/egg salad sandwich,,Multiple,,,,
2009,Winter,1,Connecticut,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,21,0,21,0,21,ice,,Other,,,,
2009,Winter,1,Connecticut,Food,Salmonella,Enteritidis,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),7,2,7,0,7,"lasagna, vegetarian",,Multiple,,,,
2009,Winter,2,Connecticut,Food,Salmonella,Typhimurium,Confirmed,"Restaurant - other or unknown type; Private home/residence; Fair, festival, other temp or mobile services",4,1,4,0,4,,,,,,,
2009,Winter,2,Wisconsin,Person-to-person,Norovirus,unknown,Confirmed,Long-term care/nursing home/assisted living facility,68,0,68,0,68,,,,,,,
2009,Winter,1,Ohio,Person-to-person,Norovirus,GII.4 Osaka,Confirmed,Restaurant,13,1,13,0,13,,,,,,,
2009,Spring,4,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,10,0,10,0,10,,,,,,,
2009,Winter,1,Missouri,Person-to-person,Norovirus,,Confirmed,Long-term care/nursing home/assisted living facility,119,0,119,0,119,,,,,,,
